Crater Evershed,          35.03, -159.51,    65.28
Crater Ewen,               7.69,  121.46,     2.06
Crater Fabbroni,          18.66,   29.27,    10.55
Crater Fabricius,        -42.75,   41.84,    78.09
Crater Fabry,             43.07,  100.68,   179.44
Crater Fahrenheit,        13.12,   61.71,     6.65
Crater Fairouz,          -26.07,  102.95,     2.87
Crater Faraday,          -42.45,    8.75,    69.03
Crater Faustini,         -87.18,   84.31,    42.48
Crater Fauth,              6.23,  -20.14,    11.94
Crater Faye,             -21.39,    3.81,    38.02
Crater Fechner,          -58.25,  125.03,    59.32
Crater Fedorov,           28.23,  -37.05,     6.08
Crater Felix,             25.09,  -25.38,     1.45
Crater Fényi,            -44.94, -105.06,    43.31
Crater Feoktistov,        30.73,  140.05,    22.06
Crater Fermat,           -22.71,   19.79,    37.77
Crater Fermi,            -19.61,  123.24,   241.41
Crater Fernelius,        -38.18,    4.86,    68.42
Crater Fersman,           17.09, -126.06,   148.14
Crater Fesenkov,         -23.16,  135.14,    36.12
Crater Feuillée,          27.37,   -9.46,     8.94
Crater Fibiger,           86.14,   37.13,    21.01
Crater Finsch,            23.58,   21.27,     4.05
Crater Finsen,           -42.29, -177.72,    72.98
Crater Firmicus,           7.25,   63.43,    56.81
Crater Firsov,             4.02,  112.07,    51.00
Crater Fischer,            7.99,  142.44,    30.48
Crater Fitzgerald,        26.67, -172.14,   104.21
Crater Fizeau,           -58.19, -134.11,   107.08
Crater Flammarion,        -3.33,   -3.73,    76.18
Crater Flamsteed,         -4.49,  -44.34,    19.34
Crater Fleming,           14.91,  109.28,   126.37
Crater Florensky,         25.45,  131.85,    69.03
Crater Florey,            87.04,  -19.75,    69.06
Crater Focas,            -33.07,  -93.91,    22.04
Crater Fontana,          -16.04,  -56.79,    31.47
Crater Fontenelle,        63.42,  -18.96,    37.68
Crater Foster,            23.59, -141.49,    37.02
Crater Foucault,          50.46,  -39.86,    25.08
Crater Fourier,          -30.31,  -53.01,    51.57
Crater Fowler,            42.59, -145.27,   139.52
Crater Fox,                0.47,   98.14,    23.97
Crater Fra Mauro,         -6.06,  -16.97,    96.76
Crater Fracastorius,     -21.36,   33.07,   120.58
Crater Franck,            22.59,   35.56,    11.91
Crater Franklin,          38.73,   47.64,    55.92
Crater Franz,             16.57,   40.24,    25.48
Crater Fraunhofer,       -39.52,   59.06,    57.75
Crater Fredholm,          18.37,   46.55,    13.39
Crater Freud,             25.79,  -52.04,     2.85
Crater Freundlich,        25.00,  170.89,    83.16
Crater Fridman,          -12.48, -126.88,   101.45
Crater Froelich,          80.00, -111.63,    56.73
Crater Frost,             37.41, -118.09,    78.03
Crater Fryxell,          -21.25, -101.65,    17.62
Crater Furnerius,        -36.00,  60.54,    135.03
Crater G. Bond,           32.39,   36.32,    19.05
Crater Gadomski,          36.21, -147.36,    65.66
Crater Gagarin,          -19.66,  149.35,   261.83
Crater Galen,             21.95,    4.96,     9.18
Crater Galilaei,          10.48,  -62.83,    15.99
Crater Galle,             55.87,   22.33,    20.96
Crater Galois,           -13.94, -152.99,   231.97
Crater Galvani,           49.51,  -84.56,    76.83
Crater Gambart,            0.92,  -15.24,    24.68
Crater Gamow,             65.29,  144.65,   113.92
Crater Ganskiy,           -9.64,   97.00,    42.11
Crater Ganswindt,        -79.42,  111.17,    77.52
Crater Garavito,         -47.21,  156.78,    81.05
Crater Gardner,           17.75,   33.81,    17.62
Crater Gärtner,           59.24,   34.76,   101.79
Crater Gassendi,         -17.55,  -39.96,   111.39
Crater Gaston,            30.88,  -33.96,     2.02
Crater Gaudibert,        -10.93,   37.82,    33.14
Crater Gauricus,         -33.91,  -12.74,    79.64
Crater Gauss,             36.01,   79.08,   170.72
Crater Gavrilov,          17.41,  131.22,    61.62
Crater Gay-Lussac,        13.88,  -20.79,    25.04
Crater Geber,            -19.46,   13.85,    44.68
Crater Geiger,           -14.39,  158.41,    36.63
Crater Geissler,          -2.06,   76.51,    17.39
Crater Geminus,           34.42,   56.66,    81.98
Crater Gemma Frisius,    -34.33,   13.37,    88.54
Crater Gena,              38.03,  -35.00,     0.02
Crater Gerard,            44.54,  -80.51,    98.78
Crater Gerasimovich,     -22.95, -123.42,    90.19
